date_execution,systeme_source,table,nb_lignes_source,nb_lignes_extraites,ecart,statut
2026-09-10 11:23:45,AbAssurance,AB_CLIENT,200,200,0,OK
2026-09-11 09:23:54,AbAssurance,AB_CONTRAT,299,299,0,OK
2026-09-11 09:30:36,AbAssurance,AB_PAIEMENT,1050,1050,0,OK
2026-09-11 09:32:21,AbAssurance,AB_SINISTRE,61,61,0,OK
2026-09-11 09:09:59,AssurePlus,AP_USERS,100,94,-6,KO
2026-09-11 09:12:50,AssurePlus,AP_CLAIMS,37,37,0,OK
2026-09-11 09:14:48,AssurePlus,AP_CONTRACTS,526,526,0,OK
2026-09-11 09:15:53,AssurePlus,AP_PAYMENTS,147,147,0,OK
