date_execution,table,nb_lignes_total,nb_anomalies_avant,taux_anomalies_avant,nb_lignes_rejetees,nb_anomalies_apres,taux_anomalies_apres
2026-09-15 13:00:09,AB_CLIENT,202,149,73.76,2,8,3.96
2026-09-15 13:00:09,AB_CONTRAT,299,0,0.00,0,0,0.00
2026-09-15 13:00:09,AB_SINISTRE,61,0,0.00,0,0,0.00
2026-09-15 13:00:09,AB_PAIEMENT,1050,0,0.00,0,0,0.00
2026-09-15 13:00:09,AP_USERS,101,83,82.18,1,4,3.96
2026-09-15 13:00:09,AP_CONTRACTS,148,2,1.35,1,0,0.00
2026-09-15 13:00:09,AP_CLAIMS,37,0,0.00,0,0,0.00
2026-09-15 13:00:09,AP_PAYMENTS,526,0,0.00,0,0,0.00
